X;Y;Unique Squirrel ID;Hectare;Shift;Date;Hectare Squirrel Number;Age;Primary Fur Color;Highlight Fur Color;Combination of Primary and Highlight Color;Color notes;Location;Above Ground Sighter Measurement;Specific Location;Running;Chasing;Climbing;Eating;Foraging;Other Activities;Kuks;Quaas;Moans;Tail flags;Tail twitches;Approaches;Indifferent;Runs from;Other Interactions;Lat/Long
-739.564.478.909.357;407.976.928.775.417;40C-PM-1006-04;40C;PM;10062018;4;Adult;Black;;Black+;;Ground Plane;FALSE;;TRUE;FALSE;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;POINT (-73.9564478909357 40.7976928775417)
-739.793.923.984.874;407.708.475.474.583;5A-AM-1006-01;05A;AM;10062018;1;Adult;Gray;;Gray+;;Above Ground;10;Oak tree near rock outcropping;FALSE;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.97939239848742 40.7708475474583)
-739.745.152.462.626;407.655.415.515.908;1G-AM-1006-04;01G;AM;10062018;4;Adult;Gray;White;Gray+White;;;;;FALSE;TRUE;FALSE;FALSE;TRUE;collecting nest material;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;;POINT (-73.9745152462626 40.76554155159081)
-739.767.953.468.937;407.676.376.977.667;3E-AM-1006-03;03E;AM;10062018;3;Adult;Gray;Cinnamon;Gray+Cinnamon;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;checkin' his stashes;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;;POINT (-73.9767953468937 40.7676376977667)
-739.604.599.477.345;407.915.035.010.169;32D-PM-1006-06;32D;PM;10062018;6;Juvenile;Gray;Black, Cinnamon, White;Gray+Black, Cinnamon, White;;Ground Plane;FALSE;;TRUE;FALSE;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;;POINT (-73.9604599477345 40.7915035010169)
-7.397.033.289.562;407.701.079.697.795;7H-AM-1006-14;07H;AM;10062018;14;Adult;Cinnamon;Gray;Cinnamon+Gray;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;;POINT (-73.97033289562 40.7701079697795)
-739.601.215.198.114;407.909.769.801.241;32D-PM-1006-02;32D;PM;10062018;2;Adult;Gray;Black, Cinnamon, White;Gray+Black, Cinnamon, White;;Ground Plane;FALSE;;TRUE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;;POINT (-73.9601215198114 40.7909769801241)
-739.541.748.083.177;407.952.758.442.897;39F-PM-1006-01;39F;PM;10062018;1;Adult;Gray;;Gray+;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;carrying leaves;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9541748083177 40.7952758442897)
-739.532.170.504.865;407.919.669.739.962;36I-PM-1007-01;36I;PM;10072018;1;Adult;Gray;Cinnamon;Gray+Cinnamon;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9532170504865 40.7919669739962)
-739.671.130.680.114;407.784.859.700.171;17F-AM-1007-07;17F;AM;10072018;7;Adult;Gray;White;Gray+White;;Above Ground;24;;TRUE;FALSE;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9671130680114 40.7784859700171)
