Hectare,Shift,Date,Age,Primary Fur Color,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Tail flags,Tail twitches,Approaches,Indifferent,Runs from
10B,AM,10062018,Juvenile,Gray,False,False,True,False,False,False,False,False,False,False,True,False
38B,AM,10192018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,False,True
09G,PM,10072018,Adult,Gray,False,False,False,True,False,False,False,False,False,False,False,False
40B,AM,10192018,Juvenile,Gray,True,True,False,False,False,False,False,False,True,False,False,False
35D,PM,10132018,Juvenile,Gray,False,False,False,False,False,False,False,False,False,False,False,False
10G,PM,10172018,Adult,Gray,False,True,False,False,False,False,False,False,False,False,True,False
13C,AM,10102018,Adult,Gray,False,False,False,False,True,False,False,False,True,False,True,False
32C,PM,10132018,Adult,Gray,True,False,False,False,True,False,False,False,True,True,False,False
37F,PM,10142018,Unknown,Gray,False,False,False,False,True,False,False,False,False,False,False,True
31D,PM,10062018,Adult,Gray,False,False,False,True,False,False,False,False,False,False,True,False
15I,PM,10122018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
19C,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
10F,PM,10192018,Adult,Black,True,False,False,False,True,False,False,False,False,False,False,True
18C,PM,10182018,Unknown,Black,False,False,False,False,True,False,False,False,False,False,True,False
07B,AM,10082018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
40E,AM,10142018,Adult,Gray,True,False,False,False,True,False,False,False,True,False,True,False
38B,AM,10192018,Adult,Gray,False,False,True,False,False,False,True,False,False,False,False,False
03B,AM,10102018,Juvenile,Gray,False,False,False,False,True,False,False,False,False,False,False,True
19B,AM,10192018,Juvenile,Gray,True,False,False,True,False,False,False,False,False,False,True,True
41B,AM,10102018,Adult,Cinnamon,False,False,False,False,False,True,False,True,False,True,False,False
04G,AM,10062018,Unknown,Gray,False,False,False,False,False,False,False,False,False,False,True,False
12F,PM,10072018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
03B,AM,10102018,Juvenile,Gray,False,False,True,False,False,False,False,False,False,False,True,False
17H,PM,10072018,Adult,Gray,False,False,False,False,True,False,False,True,False,False,True,False
38G,PM,10202018,Adult,Gray,True,False,False,False,False,False,False,True,False,False,False,True
04D,PM,10082018,Adult,Cinnamon,False,False,False,False,True,False,False,True,False,False,True,False
03G,PM,10132018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,True
15H,PM,10082018,Adult,Gray,False,False,False,False,False,False,False,False,False,False,True,False
14G,PM,10132018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,False
05D,AM,10202018,Adult,Unknown,False,False,False,False,True,False,False,False,False,False,False,False
05C,AM,10062018,Adult,Cinnamon,True,False,True,True,False,False,False,False,False,False,True,False
42H,AM,10192018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
38A,PM,10132018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,True,False
07G,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
31A,AM,10102018,Adult,Gray,False,False,False,True,True,False,False,True,True,False,True,False
22C,AM,10132018,Juvenile,Cinnamon,False,False,False,True,True,False,False,False,False,False,False,True
36F,PM,10122018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,True
05C,AM,10062018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,True,False
13H,PM,10102018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
10F,PM,10192018,Juvenile,Gray,True,False,False,False,False,False,False,False,True,False,False,True
05I,PM,10082018,Adult,Black,False,False,True,True,False,False,False,True,False,False,False,False
16D,PM,10102018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
21G,AM,10142018,Adult,Gray,False,True,True,False,False,False,False,False,False,False,False,False
22B,PM,10142018,Unknown,Gray,False,False,False,True,False,False,False,False,False,False,False,False
03D,AM,10062018,Adult,Cinnamon,False,False,False,True,True,False,False,False,False,True,False,False
39H,AM,10072018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
06D,PM,10202018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
12E,PM,10182018,Juvenile,Cinnamon,False,False,False,False,True,False,False,False,True,False,True,False
14D,PM,10192018,Adult,Gray,False,False,False,True,False,False,False,False,False,False,False,False
03E,PM,10082018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,True
17F,PM,10202018,Adult,Gray,False,False,True,True,False,False,False,False,False,False,False,False
22D,PM,10122018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
08A,AM,10132018,Juvenile,Unknown,True,True,True,True,False,False,False,False,False,True,False,False
07E,AM,10062018,Adult,Gray,False,False,False,True,False,False,False,False,False,False,False,False
42G,PM,10142018,Adult,Cinnamon,True,False,False,False,False,False,False,False,False,False,False,True
28C,PM,10062018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,False,True
02D,AM,10072018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,False
32E,AM,10072018,Adult,Black,False,False,False,False,True,False,False,False,False,False,False,False
12C,AM,10132018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
08F,PM,10122018,Adult,Gray,False,False,False,False,False,False,False,False,False,False,False,False
02H,AM,10062018,Adult,Gray,False,True,True,False,False,False,False,False,False,True,False,False
36I,AM,10172018,Adult,Gray,False,False,False,True,True,False,False,False,False,False,False,True
32B,AM,10172018,Adult,Gray,False,False,False,False,True,False,False,False,True,True,True,True
37E,PM,10062018,Adult,Cinnamon,False,False,False,False,True,False,False,False,False,False,False,False
12B,AM,10072018,Adult,Gray,False,True,False,False,False,False,False,True,False,False,True,False
04E,PM,10082018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,True
14A,PM,10142018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,True
15F,PM,10102018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,False,True
09B,PM,10132018,Juvenile,Gray,False,False,False,False,True,False,False,False,True,False,True,False
08C,PM,10132018,Adult,Gray,False,False,False,False,True,False,False,True,False,False,True,False
06B,PM,10172018,Adult,Gray,True,True,False,False,True,False,False,False,False,False,False,False
05D,AM,10202018,Adult,Gray,False,False,True,False,True,False,False,False,False,False,False,False
39B,AM,10182018,Unknown,Unknown,False,False,False,False,False,True,False,False,False,False,False,False
40A,AM,10102018,Adult,Gray,False,False,False,False,True,False,False,True,False,False,True,True
04E,AM,10202018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,True,False
32E,AM,10072018,Adult,Gray,False,False,False,True,False,False,False,False,False,False,False,True
32E,PM,10172018,Adult,Gray,False,False,False,True,True,False,False,False,False,False,False,True
02D,PM,10122018,Adult,Gray,False,False,False,True,True,False,False,False,False,True,False,False
06F,PM,10082018,Adult,Cinnamon,False,False,False,False,True,False,False,False,False,False,True,False
10B,PM,10142018,Adult,Gray,False,False,False,False,True,False,False,False,True,False,False,False
03C,PM,10082018,Adult,Cinnamon,False,False,False,False,True,False,False,False,False,False,True,False
07F,AM,10082018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,False,True
07B,AM,10082018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
38D,AM,10172018,Adult,Gray,False,False,False,False,False,False,False,False,False,False,True,False
10C,PM,10132018,Unknown,Gray,False,False,False,True,True,False,False,False,False,False,True,False
06G,PM,10202018,Adult,Gray,True,True,False,False,False,False,False,False,False,False,True,False
26I,PM,10102018,Adult,Gray,False,False,False,False,True,False,False,False,True,False,True,False
10A,AM,10062018,Juvenile,Cinnamon,False,False,False,True,False,False,False,False,False,False,False,False
01B,AM,10122018,Adult,Cinnamon,False,True,True,False,False,False,False,False,False,False,True,False
09A,PM,10102018,Unknown,Cinnamon,True,False,True,False,False,False,False,False,False,False,True,False
03D,AM,10062018,Juvenile,Cinnamon,True,False,True,False,False,False,False,False,False,True,False,False
37H,AM,10182018,Adult,Gray,False,False,False,True,False,False,True,False,False,False,False,True
07F,AM,10082018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,True,False
06A,AM,10062018,Adult,Gray,False,False,True,False,False,True,False,False,False,False,False,False
32I,AM,10132018,Adult,Cinnamon,False,False,True,False,True,False,False,True,False,False,True,False
07H,PM,10062018,Adult,Gray,True,False,True,True,True,False,False,False,False,False,True,False
02E,PM,10142018,Adult,Cinnamon,False,False,False,False,True,False,False,False,False,False,True,False
12F,AM,10202018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,False,False
14E,AM,10082018,Adult,Gray,False,False,False,True,False,False,False,False,False,False,False,True
04B,PM,10182018,Adult,Gray,False,False,False,True,False,False,False,False,False,True,False,False
05E,PM,10122018,Adult,Cinnamon,False,False,False,True,True,False,False,False,False,False,True,False
15F,AM,10072018,Adult,Cinnamon,False,False,True,False,True,False,False,False,False,False,False,True
31F,PM,10072018,Adult,Gray,False,False,False,False,False,False,False,False,False,False,True,False
08B,PM,10122018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,True
23D,AM,10132018,Adult,Gray,False,False,True,False,False,False,False,False,False,True,False,False
39H,PM,10132018,Adult,Gray,False,False,False,True,False,False,False,False,False,False,True,False
38C,AM,10192018,Adult,Gray,False,False,False,False,True,True,True,False,False,False,True,False
30B,PM,10192018,Adult,Gray,False,False,True,True,True,False,False,False,False,False,False,True
04F,PM,10132018,Adult,Gray,False,False,False,True,True,False,False,False,False,False,True,False
03E,PM,10082018,Adult,Gray,False,False,False,True,False,False,False,False,False,False,True,False
35A,AM,10142018,Juvenile,Gray,True,False,False,False,False,False,False,False,False,False,False,True
05A,PM,10102018,Adult,Gray,False,False,False,False,True,False,False,False,True,False,False,False
33I,AM,10082018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,True,False
37C,PM,10132018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
33B,PM,10102018,Adult,Gray,False,False,False,False,False,False,False,False,False,False,False,False
10G,PM,10172018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
37I,AM,10102018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,True
37G,PM,10072018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,False,True
11G,AM,10122018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,True,False
13C,PM,10192018,Adult,Gray,False,False,True,False,False,True,False,False,False,False,True,False
20A,AM,10102018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
15A,PM,10172018,Adult,Gray,False,False,True,True,False,False,False,False,False,False,True,False
16E,AM,10142018,Adult,Gray,False,False,False,True,True,False,False,False,False,True,False,False
37E,PM,10062018,Adult,Cinnamon,False,False,False,True,True,False,False,False,False,False,True,False
22C,AM,10132018,Adult,Gray,False,False,False,False,False,False,False,False,False,False,False,False
16F,PM,10132018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,True
08H,AM,10172018,Adult,Gray,False,False,False,True,False,False,False,False,False,False,True,False
01G,PM,10102018,Adult,Gray,False,False,True,True,False,False,False,True,False,False,True,False
20A,PM,10172018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
37B,AM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
15F,PM,10102018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
37E,PM,10062018,Adult,Cinnamon,False,False,False,False,False,False,False,False,True,True,False,False
35D,PM,10132018,Juvenile,Gray,False,False,False,True,False,False,False,False,False,False,True,False
36I,AM,10172018,Adult,Gray,True,False,True,False,False,False,False,False,False,False,True,False
03I,PM,10132018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
12G,PM,10072018,Unknown,Gray,False,False,False,False,True,False,False,False,False,False,False,True
04D,PM,10082018,Adult,Cinnamon,False,False,True,True,True,False,False,False,False,False,False,True
39H,AM,10072018,Adult,Gray,False,False,False,True,True,False,False,False,True,False,True,False
08C,PM,10132018,Unknown,Cinnamon,False,False,False,False,True,False,False,False,False,False,True,False
15E,PM,10082018,Adult,Gray,False,False,False,False,False,False,True,False,False,False,False,False
10I,AM,10102018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
32I,AM,10132018,Adult,Gray,False,False,False,False,True,False,False,True,False,False,True,False
19B,PM,10182018,Juvenile,Gray,False,False,False,True,False,False,False,False,False,False,True,False
03B,PM,10072018,Adult,Gray,False,False,False,False,True,False,False,False,True,False,False,False
35E,PM,10062018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
38C,AM,10192018,Adult,Gray,True,False,False,False,True,False,False,False,True,False,False,True
19H,AM,10102018,Adult,Gray,False,False,False,True,True,False,False,False,False,False,False,True
32D,PM,10062018,Juvenile,Gray,False,False,False,True,False,False,False,False,True,True,False,False
39G,PM,10132018,Adult,Gray,False,True,False,True,False,False,False,False,False,False,False,False
38G,PM,10202018,Adult,Gray,True,False,False,False,False,False,False,True,False,False,False,True
34I,PM,10102018,Adult,Gray,False,False,False,True,False,False,False,False,False,False,False,False
12A,PM,10132018,Unknown,Gray,False,True,False,False,False,False,False,False,False,False,True,False
19F,AM,10072018,Adult,Cinnamon,False,False,False,True,False,False,False,False,False,False,True,False
20C,PM,10182018,Adult,Cinnamon,True,False,False,False,True,False,False,False,False,True,False,False
22A,PM,10172018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,False
33I,PM,10062018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,False,True
36E,AM,10132018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
