X,Y,Unique Squirrel ID,Hectare,Shift,Date,Age,Primary Fur Color,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Tail flags,Tail twitches,Approaches,Indifferent,Runs from
-739.635.140.434.993,407.912.807.969.365,31B-AM-1017-01,31B,AM,10172018,Adult,Gray,False,False,False,True,False,False,False,False,False,False,True,False
-739.703.781.726.172,407.787.526.130.321,16C-PM-1018-03,16C,PM,10182018,Adult,Gray,True,False,False,True,True,False,False,False,False,False,True,False
-739.716.147.061.553,407.813.911.036.179,18A-PM-1018-01,18A,PM,10182018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,False
-73.968.381.325.559,407.780.143.443.779,16E-PM-1018-06,16E,PM,10182018,Adult,Cinnamon,False,False,False,False,True,False,False,False,True,False,True,False
-739.688.271.202.401,407.809.719.445.309,19C-PM-1018-01,19C,PM,10182018,Adult,Gray,True,True,False,True,False,False,False,False,True,False,True,False
-739.521.110.154.872,407.978.449.143.313,42G-AM-1018-03,42G,AM,10182018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,False,True
-739.700.100.617.602,407.815.739.959.357,19B-PM-1018-01,19B,PM,10182018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,False,False
-73.971.905.618.214,40.776.238.547.063,13D-PM-1018-10,13D,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,True,False,True,False
-739.592.038.887.673,40.796.382.675.378,38B-PM-1018-02,38B,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
-739.511.118.711.108,407.950.813.345.902,40I-AM-1018-01,40I,AM,10182018,Adult,Cinnamon,True,False,False,False,True,False,False,False,False,False,False,False
-739.721.442.939.797,407.700.750.802.317,7G-PM-1018-03,07G,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
-739.532.620.128.307,407.952.475.548.048,39G-AM-1018-01,39G,AM,10182018,Adult,Gray,False,False,False,False,False,False,False,False,False,False,False,False
-739.758.676.144.255,407.701.671.581.939,5D-PM-1018-03,05D,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
-73.963.846.339.804,407.834.051.716.226,23F-AM-1018-01,23F,AM,10182018,Adult,Cinnamon,False,False,True,False,False,False,False,False,False,False,True,False
-739.690.828.325.179,407.818.038.172.275,19C-PM-1018-04,19C,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
-739.691.050.656.013,407.808.139.538.222,18C-PM-1018-01,18C,PM,10182018,Unknown,Black,False,False,False,False,True,False,False,False,False,False,True,False
-739.718.729.101.676,407.703.692.621.371,7G-PM-1018-05,07G,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
-739.712.327.308.512,407.748.702.909.218,12E-PM-1018-06,12E,PM,10182018,Juvenile,Cinnamon,False,False,False,False,True,False,False,False,True,False,True,False
-739.593.126.695.714,40.797.533.370.163,39B-AM-1018-01,39B,AM,10182018,Unknown,Unknown,False,False,False,False,False,True,False,False,False,False,False,False
-739.534.333.425.633,407.932.564.163.328,37H-AM-1018-03,37H,AM,10182018,Adult,Gray,False,False,False,True,False,False,True,False,False,False,False,True
-739.786.481.009.499,407.697.372.811.949,4B-PM-1018-03,04B,PM,10182018,Adult,Gray,False,False,False,True,False,False,False,False,False,True,False,False
-739.596.964.641.652,407.957.753.591.585,37B-AM-1018-03,37B,AM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
-739.696.001.184.129,407.820.810.673.532,19B-PM-1018-05,19B,PM,10182018,Juvenile,Gray,False,False,False,True,False,False,False,False,False,False,True,False
-739.684.376.038.582,407.824.275.067.237,20C-PM-1018-09,20C,PM,10182018,Adult,Cinnamon,True,False,False,False,True,False,False,False,False,True,False,False
-73.967.832.992.543,407.783.669.913.408,17E-PM-1018-03,17E,PM,10182018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,True,False
-739.687.395.228.846,407.807.364.481.385,18D-AM-1018-02,18D,AM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
-73.965.509.576.403,407.752.456.763.263,14I-PM-1018-05,14I,PM,10182018,Adult,Gray,False,False,True,True,False,False,False,False,True,False,True,False
-739.649.590.119.935,407.822.107.920.769,21F-AM-1018-01,21F,AM,10182018,Adult,Gray,False,False,True,False,False,False,False,False,True,False,True,False
-739.633.760.173.635,407.818.422.357.619,22G-PM-1018-03,22G,PM,10182018,Juvenile,Gray,True,False,False,False,False,False,False,False,False,False,True,False
-739.502.466.289.084,407.959.228.779.883,41I-AM-1018-02,41I,AM,10182018,Juvenile,Gray,True,False,False,False,True,False,False,False,False,False,False,False
-739.720.887.275.538,407.760.799.537.976,13D-PM-1018-08,13D,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
-739.644.293.195.773,407.813.829.172.072,21F-AM-1018-02,21F,AM,10182018,Adult,Gray,False,False,False,True,False,False,False,False,True,False,True,False
-739.579.724.119.943,407.948.709.900.016,37D-AM-1018-01,37D,AM,10182018,Juvenile,Gray,False,False,False,False,True,False,False,False,False,False,True,False
-739.717.201.378.775,40.776.120.280.884,13D-PM-1018-02,13D,PM,10182018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,True,False
-739.615.751.148.595,407.954.551.238.146,36A-AM-1018-01,36A,AM,10182018,Juvenile,Gray,False,False,False,True,False,False,False,False,False,False,True,False
