Hectare,Shift,Date,Hectare Conditions,Number of Squirrels,Weather,Dogs
11H,PM,10132018,Calm,0,46.0,1
12H,PM,10132018,"Calm, Busy",1,60.0,1
13C,AM,10132018,Calm,4,47.0,0
13F,AM,10132018,Calm,3,49.0,1
13G,PM,10132018,Calm,2,52.1,1
14C,PM,10132018,Busy,6,55.0,1
14F,PM,10132018,Busy,3,52.1,0
14H,PM,10132018,Busy,5,52.1,0
16A,PM,10132018,,4,49.0,1
16D,AM,10132018,Busy,6,52.1,1
16D,PM,10132018,Calm,0,50.0,0
17C,PM,10132018,Busy,10,52.1,1
17H,PM,10132018,Busy,3,54.0,1
17I,AM,10132018,Calm,0,49.0,1
18H,AM,10132018,Busy,0,55.0,1
18I,AM,10132018,Calm,5,58.0,1
19A,AM,10132018,Calm,3,50.0,1
19F,AM,10132018,Busy,0,55.0,1
19I,AM,10132018,Busy,1,56.0,1
20B,AM,10132018,Moderate,4,55.0,1
20F,AM,10132018,Busy,1,50.0,1
20H,AM,10132018,Busy,5,50.0,1
22B,PM,10132018,Busy,1,50.0,1
22C,PM,10132018,Busy,1,50.0,1
22H,PM,10132018,Calm,0,50.0,1
23G,AM,10132018,Busy,0,50.0,0
23H,PM,10132018,,0,49.0,0
25A,PM,10132018,Calm,1,50.0,1
25I,AM,10132018,Busy,0,50.0,1
26B,PM,10132018,,9,52.1,0
27A,PM,10132018,Calm,13,60.0,1
27I,PM,10132018,Busy,3,56.0,1
28B,PM,10132018,Calm,6,49.0,1
29D,PM,10132018,Busy,3,50.0,1
29I,PM,10132018,Calm,5,60.0,1
30H,PM,10132018,Calm,12,54.0,1
30I,AM,10132018,Calm,7,56.0,1
31A,PM,10132018,Busy,8,56.0,1
31B,PM,10132018,,9,52.1,0
31F,AM,10132018,Calm,2,49.0,1
31G,PM,10132018,Calm,1,50.0,1
31H,PM,10132018,Busy,9,56.0,1
31I,AM,10132018,Calm,4,50.0,1
31I,PM,10132018,Calm,5,54.0,0
32A,AM,10132018,"Calm, Busy",6,56.0,1
32C,AM,10132018,Moderate,3,50.0,1
32I,AM,10132018,Calm,5,55.0,1
32I,PM,10132018,Busy,5,55.0,0
